; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of BatchProcessTypeEnum in 0 ms
; 14:50:48,803 DEBUG [BatchProcessTypeEnum] (http-nio-7080-exec-1) Invoking Event BatchProcessTypeEnum.get(value)
; 14:50:48,803 DEBUG [BatchProcessTypeEnum] (http-nio-7080-exec-1) Invoking Event BatchProcessTypeEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of BatchProcessTypeEnum in 0 ms
; 14:50:48,803 DEBUG [BatchProcessConfig] (http-nio-7080-exec-1) Invoking Event BatchProcessConfig.getBatchProcessConfig(batchProcessType)
; 14:50:48,803 DEBUG [BatchProcessConfig] (http-nio-7080-exec-1) Invoking Event BatchProcessConfig.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.id, A.asyncThreshold, A.locking, A.queueId from NJBatchProcessConfig A where A.type = ? and A.deletedFlag = ?
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'SEND_EMAIL'
; 14:50:48,803 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 0
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 1 ms
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of BatchProcessConfig in 0 ms
; 14:50:48,804 DEBUG [BatchProcessConfig] (http-nio-7080-exec-1) Invoking Event BatchProcessConfig.load(attributes)
; 14:50:48,804 DEBUG [load] (http-nio-7080-exec-1) Loading attribute(s) (maxUserThreshold) of Instance<BatchProcessConfig, (oid #z4B90C6B8A8B076498B56BE5B06FCE740), clean>
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of BatchProcessConfig in 0 ms
; 14:50:48,804 DEBUG [InvocationContext] (http-nio-7080-exec-1) Suspending transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,804 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Suspending transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,804 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Starting new transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,804 DEBUG [InvocationContext] (http-nio-7080-exec-1) Started new transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,804 DEBUG [ProcessCategoryEnum] (http-nio-7080-exec-1) Invoking Event ProcessCategoryEnum.get(value)
; 14:50:48,804 DEBUG [ProcessCategoryEnum] (http-nio-7080-exec-1) Invoking Event ProcessCategoryEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.valueCode, A.locale, A.typeCode, A.active, A.behaveAsCode, A.caption, A.classification, A.deletedFlag, A.displayOrder, A.externalCode, A.locking, A.parentTypeCode, A.parentValueCode, A.readOnlyFlag, A.shortCaption from NJEnumDisplay A where A.locale = ? and A.typeCode = ?
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'fr'
; 14:50:48,804 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'PROCESSCATENUM'
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 4 instance(s) of ProcessCategoryEnum in 0 ms
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of ProcessCategoryEnum in 0 ms
; 14:50:48,805 DEBUG [ProcessStatusEnum] (http-nio-7080-exec-1) Invoking Event ProcessStatusEnum.get(value)
; 14:50:48,805 DEBUG [ProcessStatusEnum] (http-nio-7080-exec-1) Invoking Event ProcessStatusEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.valueCode, A.locale, A.typeCode, A.active, A.behaveAsCode, A.caption, A.classification, A.deletedFlag, A.displayOrder, A.externalCode, A.locking, A.parentTypeCode, A.parentValueCode, A.readOnlyFlag, A.shortCaption from NJEnumDisplay A where A.locale = ? and A.typeCode = ?
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'fr'
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'SPROCESSSTATUSENUM'
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 7 instance(s) of ProcessStatusEnum in 0 ms
; 14:50:48,805 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of ProcessStatusEnum in 0 ms
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.new(values)
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.create()
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.addComment(args)
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.load(attributes)
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.update()
; 14:50:48,805 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.commit()
; 14:50:48,805 DEBUG [SysCounter] (http-nio-7080-exec-1) Invoking Event SysCounter.next(name)
; 14:50:48,805 DEBUG [InvocationContext] (http-nio-7080-exec-1) Suspending transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,805 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Suspending transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,806 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Starting new transaction Tx(6301000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,806 DEBUG [InvocationContext] (http-nio-7080-exec-1) Started new transaction Tx(6301000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.name, A.cache, A.inc, A.value from NJCounter A with (xlock) where A.name = ?
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'process.processNumber'
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of SysCounter in 0 ms
; 14:50:48,806 DEBUG [SysCounter] (http-nio-7080-exec-1) Invoking Event SysCounter.update()
; 14:50:48,806 DEBUG [SysCounter] (http-nio-7080-exec-1) Invoking Event SysCounter.commit()
; 14:50:48,806 DEBUG [UnitOfWork] (http-nio-7080-exec-1) Committing 1 instance(s)
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) update NJCounter set value = ? where name = ?
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 258
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'process.processNumber'
; 14:50:48,806 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,807 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 0 instance(s) of SysSyncTarget in 0 ms
; 14:50:48,807 DEBUG [InvocationContext] (http-nio-7080-exec-1) Committing transaction Tx(6301000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,807 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Committing transaction Tx(6301000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,807 DEBUG [UnitOfWork] (http-nio-7080-exec-1) Commit completed
; 14:50:48,807 DEBUG [InvocationContext] (http-nio-7080-exec-1) Resuming transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,807 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Resuming transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,807 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.load(attributes)
; 14:50:48,807 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute startTime, set to null
; 14:50:48,807 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.load(attributes)
; 14:50:48,807 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute endTime, set to null
; 14:50:48,807 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.load(attributes)
; 14:50:48,807 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute syncTarget, set to null
; 14:50:48,807 DEBUG [SysProcess] (http-nio-7080-exec-1) Invoking Event SysProcess.load(attributes)
; 14:50:48,807 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute logCategory, set to null
; 14:50:48,807 DEBUG [SeverityEnum] (http-nio-7080-exec-1) Invoking Event SeverityEnum.get(value)
; 14:50:48,807 DEBUG [SeverityEnum] (http-nio-7080-exec-1) Invoking Event SeverityEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,807 DEBUG [SQLAdapter] (http-nio-7080-exec-1) select A.valueCode, A.locale, A.typeCode, A.active, A.behaveAsCode, A.caption, A.classification, A.deletedFlag, A.displayOrder, A.externalCode, A.locking, A.parentTypeCode, A.parentValueCode, A.readOnlyFlag, A.shortCaption from NJEnumDisplay A where A.locale = ? and A.typeCode = ?
; 14:50:48,807 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 'fr'
; 14:50:48,807 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'SSEVERITYENUM'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 1 ms
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 6 instance(s) of SeverityEnum in 0 ms
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of SeverityEnum in 0 ms
; 14:50:48,808 DEBUG [UnitOfWork] (http-nio-7080-exec-1) Committing 1 instance(s)
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) insert into NJProcess(id, classCode, processNumber, createTime, name, description, statusCode, categoryCode, userId, startTime, endTime, logLevelCode, locking) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[0] = 97BCC27392234BDDBF9C138C00B0E295
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[1] = 'PRC'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[2] = 257
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[3] = 2017-12-15 19:50:48.807000000
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[4] = 'Courriel'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[5] = 'déc. 15 17 2:50:48 PM - Started Courriel
'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[6] = 'W'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[7] = 'B'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[8] = 00000000000010008000BEEF0000000C
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[9] = null
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[10] = null
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[11] = 'I'
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Bind[12] = 0
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) SQL execution time: 0 ms
; 14:50:48,808 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 0 instance(s) of SysSyncTarget in 0 ms
; 14:50:48,808 DEBUG [InvocationContext] (http-nio-7080-exec-1) Committing transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,808 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Committing transaction Tx(6201000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,809 DEBUG [UnitOfWork] (http-nio-7080-exec-1) Commit completed
; 14:50:48,809 DEBUG [InvocationContext] (http-nio-7080-exec-1) Resuming transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,809 DEBUG [GenericTransactionManager] (http-nio-7080-exec-1) Resuming transaction Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0)
; 14:50:48,809 DEBUG [EntitySearchContextEnum] (http-nio-7080-exec-1) Invoking Event EntitySearchContextEnum.get(value)
; 14:50:48,809 DEBUG [EntitySearchContextEnum] (http-nio-7080-exec-1) Invoking Event EntitySearchContextEnum.read(attributes, where, orderBy, count, offset, xlock)
; 14:50:48,809 DEBUG [SQLAdapter] (http-nio-7080-exec-1) Retrieved 1 instance(s) of EntitySearchContextEnum in 0 ms
; 14:50:48,809 DEBUG [batchProcess] (http-nio-7080-exec-1) Starting internal uow. Old UOW= #<nexj.core.runtime.UnitOfWork@2625cb10(transient=false, audited=(state), dirty=true, time=1513367448797, changes=2, messages=0, txMode=managed, txStatus=Active, tx=Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0))> , new UOW= #<nexj.core.runtime.UnitOfWork@7b369b00(transient=false, audited=(state), dirty=true, time=1513367448809, changes=0, messages=0, txMode=external, txStatus=Active, tx=Tx(6101000000000000A17E87F0E93C01C98EEF87211704480F, timeout=300s, status=0))>
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.new(values)
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.create()
; 14:50:48,809 DEBUG [User] (http-nio-7080-exec-1) Invoking Event User.getSystemUser()
; 14:50:48,809 DEBUG [User] (http-nio-7080-exec-1) Invoking Event User.getSystemUser()
; 14:50:48,809 DEBUG [QueuedBatchProcess] (http-nio-7080-exec-1) ---- Setting User Create Audit Fields
; 14:50:48,809 DEBUG [QueuedBatchProcess] (http-nio-7080-exec-1) ---- updating User Edit Audit Fields
; 14:50:48,809 DEBUG [batchProcess] (http-nio-7080-exec-1) Completing internal uow
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.commit()
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.updated(attribute)
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.updateCommandParameters()
; 14:50:48,809 DEBUG [QueuedBatchEntityProcess] (http-nio-7080-exec-1) Invoking Event QueuedBatchEntityProcess.load(attributes)
; 14:50:48,809 DEBUG [Instance] (http-nio-7080-exec-1) Uninitialized Attribute serializedCommandParameters, set to null
; 14:50:48,809 DEBUG [ProcessStatusEnum] (http-nio-7080-exec-1) Invoking Event ProcessStatusEnum.get(value)
